Timezone,State,city
 Alaska Daylight Time ,Alaska,Mountain Village 
 Alaska Daylight Time ,Alaska,Naknek  
 Alaska Daylight Time ,Alaska,Napakiak  
 Alaska Daylight Time ,Alaska,Nenana  
 Alaska Daylight Time ,Alaska,New Stuyahok 
 Alaska Daylight Time ,Alaska,Nightmute  
 Alaska Daylight Time ,Alaska,Nikiski  
 Alaska Daylight Time ,Alaska,Nikolai  
 Alaska Daylight Time ,Alaska,Noatak  
 Alaska Daylight Time ,Alaska,Nome  
 Alaska Daylight Time ,Alaska,Nondalton  
 Alaska Daylight Time ,Alaska,Noorvik  
 Alaska Daylight Time ,Alaska,North Pole 
 Alaska Daylight Time ,Alaska,Northway  
 Alaska Daylight Time ,Alaska,Nuiqsut  
 Alaska Daylight Time ,Alaska,Nulato  
 Alaska Daylight Time ,Alaska,Nunam Iqua 
 Alaska Daylight Time ,Alaska,Nunapitchuk  
 Alaska Daylight Time ,Alaska,Old Harbor 
 Alaska Daylight Time ,Alaska,Ouzinkie  
 Alaska Daylight Time ,Alaska,Palmer  
 Alaska Daylight Time ,Alaska,Pedro Bay 
 Alaska Daylight Time ,Alaska,Pelican  
 Alaska Daylight Time ,Alaska,Perryville  
 Alaska Daylight Time ,Alaska,Petersburg  
 Alaska Daylight Time ,Alaska,Pilot Point 
 Alaska Daylight Time ,Alaska,Pilot Station 
 Alaska Daylight Time ,Alaska,Platinum  
 Alaska Daylight Time ,Alaska,Point Baker 
 Alaska Daylight Time ,Alaska,Point Hope 
 Alaska Daylight Time ,Alaska,Point Lay 
 Alaska Daylight Time ,Alaska,Port Alexander 
 Alaska Daylight Time ,Alaska,Port Alsworth 
 Alaska Daylight Time ,Alaska,Port Heiden 
 Alaska Daylight Time ,Alaska,Port Lions 
 Alaska Daylight Time ,Alaska,Prudhoe Bay 
 Alaska Daylight Time ,Alaska,Quinhagak  
 Alaska Daylight Time ,Alaska,Rampart  
 Alaska Daylight Time ,Alaska,Red Devil 
 Alaska Daylight Time ,Alaska,Ruby  
 Alaska Daylight Time ,Alaska,Russian Mission 
 Hawaii-Aleutian Daylight Time ,Alaska,Saint George Island
 Alaska Daylight Time ,Alaska,Saint Marys 
 Alaska Daylight Time ,Alaska,Saint Michael 
 Hawaii-Aleutian Daylight Time ,Alaska,Saint Paul Island
 Alaska Daylight Time ,Alaska,Salcha  
 Alaska Daylight Time ,Alaska,Sand Point 
 Alaska Daylight Time ,Alaska,Savoonga  
 Alaska Daylight Time ,Alaska,Scammon Bay 
 Alaska Daylight Time ,Alaska,Selawik  
 Alaska Daylight Time ,Alaska,Seldovia  
 Alaska Daylight Time ,Alaska,Seward  
 Alaska Daylight Time ,Alaska,Shageluk  
 Alaska Daylight Time ,Alaska,Shaktoolik  
 Alaska Daylight Time ,Alaska,Shishmaref  
 Alaska Daylight Time ,Alaska,Shungnak  
 Alaska Daylight Time ,Alaska,Sitka  
 Alaska Daylight Time ,Alaska,Skagway  
 Alaska Daylight Time ,Alaska,Skwentna  
 Alaska Daylight Time ,Alaska,Sleetmute  
 Alaska Daylight Time ,Alaska,Soldotna  
 Alaska Daylight Time ,Alaska,South Naknek 
 Alaska Daylight Time ,Alaska,Stebbins  
 Alaska Daylight Time ,Alaska,Sterling  
 Alaska Daylight Time ,Alaska,Stevens Village 
 Alaska Daylight Time ,Alaska,Sutton  
 Alaska Daylight Time ,Alaska,Takotna  
 Alaska Daylight Time ,Alaska,Talkeetna  
 Alaska Daylight Time ,Alaska,Tanacross  
 Alaska Daylight Time ,Alaska,Tanana  
 Alaska Daylight Time ,Alaska,Tatitlek  
 Alaska Daylight Time ,Alaska,Teller  
 Alaska Daylight Time ,Alaska,Tenakee Springs 
 Alaska Daylight Time ,Alaska,Thorne Bay 
 Alaska Daylight Time ,Alaska,Togiak  
 Alaska Daylight Time ,Alaska,Tok  
 Alaska Daylight Time ,Alaska,Toksook Bay 
 Alaska Daylight Time ,Alaska,Trapper Creek 
 Alaska Daylight Time ,Alaska,Tuluksak  
 Alaska Daylight Time ,Alaska,Tuntutuliak  
 Alaska Daylight Time ,Alaska,Tununak  
 Alaska Daylight Time ,Alaska,Two Rivers 
 Alaska Daylight Time ,Alaska,Tyonek  
 Alaska Daylight Time ,Alaska,Unalakleet  
 Hawaii-Aleutian Daylight Time ,Alaska,Unalaska  
 Alaska Daylight Time ,Alaska,Valdez  
 Alaska Daylight Time ,Alaska,Venetie  
 Alaska Daylight Time ,Alaska,Wainwright  
 Alaska Daylight Time ,Alaska,Wales  
 Alaska Daylight Time ,Alaska,Ward Cove 
 Alaska Daylight Time ,Alaska,Wasilla  
 Alaska Daylight Time ,Alaska,White Mountain 
 Alaska Daylight Time ,Alaska,Whittier  
 Alaska Daylight Time ,Alaska,Willow  
 Alaska Daylight Time ,Alaska,Wrangell  
 Alaska Daylight Time ,Alaska,Yakutat  
 Central Daylight Time ,Alabama,Abbeville  
 Central Daylight Time ,Alabama,Abernant  
 Central Daylight Time ,Alabama,Adamsville  
 Central Daylight Time ,Alabama,Addison  
 Central Daylight Time ,Alabama,Adger  
 Central Daylight Time ,Alabama,Akron  
 Central Daylight Time ,Alabama,Alabaster  
 Central Daylight Time ,Alabama,Alberta  
 Central Daylight Time ,Alabama,Albertville  
 Central Daylight Time ,Alabama,Alexander City 
 Central Daylight Time ,Alabama,Alexandria  
 Central Daylight Time ,Alabama,Aliceville  
 Central Daylight Time ,Alabama,Allgood  
 Central Daylight Time ,Alabama,Alma  
 Central Daylight Time ,Alabama,Alpine  
 Central Daylight Time ,Alabama,Alton  
 Central Daylight Time ,Alabama,Altoona  
 Central Daylight Time ,Alabama,Andalusia  
 Central Daylight Time ,Alabama,Anderson  
 Central Daylight Time ,Alabama,Annemanie  
 Central Daylight Time ,Alabama,Anniston  
 Central Daylight Time ,Alabama,Arab  
 Central Daylight Time ,Alabama,Ardmore  
 Central Daylight Time ,Alabama,Ariton  
 Central Daylight Time ,Alabama,Arley  
 Central Daylight Time ,Alabama,Arlington  
 Central Daylight Time ,Alabama,Ashford  
 Central Daylight Time ,Alabama,Ashland  
 Central Daylight Time ,Alabama,Ashville  
 Central Daylight Time ,Alabama,Athens  
 Central Daylight Time ,Alabama,Atmore  
 Central Daylight Time ,Alabama,Attalla  
 Central Daylight Time ,Alabama,Auburn  
 Central Daylight Time ,Alabama,Auburn University 
 Central Daylight Time ,Alabama,Autaugaville  
 Central Daylight Time ,Alabama,Axis  
 Central Daylight Time ,Alabama,Baileyton  
 Central Daylight Time ,Alabama,Banks  
 Central Daylight Time ,Alabama,Bankston  
 Central Daylight Time ,Alabama,Bay Minette 
 Central Daylight Time ,Alabama,Bayou La Batre
 Central Daylight Time ,Alabama,Bear Creek 
 Central Daylight Time ,Alabama,Beatrice  
 Central Daylight Time ,Alabama,Beaverton  
 Central Daylight Time ,Alabama,Belk  
 Central Daylight Time ,Alabama,Bellamy  
 Central Daylight Time ,Alabama,Belle Mina 
 Central Daylight Time ,Alabama,Bellwood  
 Central Daylight Time ,Alabama,Berry  
 Central Daylight Time ,Alabama,Bessemer  
 Central Daylight Time ,Alabama,Billingsley  
 Central Daylight Time ,Alabama,Birmingham  
 Central Daylight Time ,Alabama,Birmingham  
 Central Daylight Time ,Alabama,Black  
 Central Daylight Time ,Alabama,Blountsville  
 Central Daylight Time ,Alabama,Boaz  
 Central Daylight Time ,Alabama,Boaz  
 Central Daylight Time ,Alabama,Boligee  
 Central Daylight Time ,Alabama,Bon Air 
 Central Daylight Time ,Alabama,Bon Secour 
 Central Daylight Time ,Alabama,Booth  
 Central Daylight Time ,Alabama,Boykin  
 Central Daylight Time ,Alabama,Brantley  
 Central Daylight Time ,Alabama,Bremen  
 Central Daylight Time ,Alabama,Brent  
 Central Daylight Time ,Alabama,Brewton  
 Central Daylight Time ,Alabama,Bridgeport  
 Central Daylight Time ,Alabama,Brierfield  
 Central Daylight Time ,Alabama,Brilliant  
 Central Daylight Time ,Alabama,Brooklyn  
 Central Daylight Time ,Alabama,Brookside  
 Central Daylight Time ,Alabama,Brookwood  
 Central Daylight Time ,Alabama,Brownsboro  
 Central Daylight Time ,Alabama,Brundidge  
 Central Daylight Time ,Alabama,Bryant  
 Central Daylight Time ,Alabama,Bucks  
 Central Daylight Time ,Alabama,Buhl  
 Central Daylight Time ,Alabama,Burnt Corn 
 Central Daylight Time ,Alabama,Burnwell  
 Central Daylight Time ,Alabama,Butler  
 Central Daylight Time ,Alabama,Bynum  
 Central Daylight Time ,Alabama,Calera  
 Central Daylight Time ,Alabama,Calvert  
 Central Daylight Time ,Alabama,Camden  
 Central Daylight Time ,Alabama,Camp Hill 
 Central Daylight Time ,Alabama,Campbell  
 Central Daylight Time ,Alabama,Capshaw  
 Central Daylight Time ,Alabama,Carbon Hill 
 Central Daylight Time ,Alabama,Cardiff  
 Central Daylight Time ,Alabama,Carlton  
 Central Daylight Time ,Alabama,Carrollton  
 Central Daylight Time ,Alabama,Castleberry  
 Central Daylight Time ,Alabama,Catherine  
 Central Daylight Time ,Alabama,Cecil  
 Central Daylight Time ,Alabama,Cedar Bluff 
 Central Daylight Time ,Alabama,Centre  
 Central Daylight Time ,Alabama,Centreville  
 Central Daylight Time ,Alabama,Chancellor  
 Central Daylight Time ,Alabama,Chapman  
 Central Daylight Time ,Alabama,Chatom  
 Central Daylight Time ,Alabama,Chelsea  
 Central Daylight Time ,Alabama,Cherokee  
 Central Daylight Time ,Alabama,Childersburg  
 Central Daylight Time ,Alabama,Choccolocco  
 Central Daylight Time ,Alabama,Chunchula  
 Central Daylight Time ,Alabama,Citronelle  
 Central Daylight Time ,Alabama,Clanton  
 Central Daylight Time ,Alabama,Clay  
 Central Daylight Time ,Alabama,Clayton  
 Central Daylight Time ,Alabama,Cleveland  
 Central Daylight Time ,Alabama,Clinton  
 Central Daylight Time ,Alabama,Clio  
 Central Daylight Time ,Alabama,Clopton  
 Central Daylight Time ,Alabama,Cloverdale  
 Central Daylight Time ,Alabama,Coaling  
 Central Daylight Time ,Alabama,Coden  
 Central Daylight Time ,Alabama,Coffee Springs 
 Central Daylight Time ,Alabama,Coffeeville  
 Central Daylight Time ,Alabama,Coker  
 Central Daylight Time ,Alabama,Collinsville  
 Central Daylight Time ,Alabama,Columbia  
 Central Daylight Time ,Alabama,Columbiana  
 Central Daylight Time ,Alabama,Cook Springs 
 Central Daylight Time ,Alabama,Coosada  
 Central Daylight Time ,Alabama,Cordova  
 Central Daylight Time ,Alabama,Cottondale  
 Central Daylight Time ,Alabama,Cottonton  
 Central Daylight Time ,Alabama,Cottonwood  
 Central Daylight Time ,Alabama,Courtland  
 Central Daylight Time ,Alabama,Cowarts  
 Central Daylight Time ,Alabama,Coy  
 Central Daylight Time ,Alabama,Cragford  
 Central Daylight Time ,Alabama,Crane Hill 
 Central Daylight Time ,Alabama,Creola  
 Central Daylight Time ,Alabama,Cropwell  
 Central Daylight Time ,Alabama,Crossville  
 Central Daylight Time ,Alabama,Cuba  
 Central Daylight Time ,Alabama,Cullman  
 Central Daylight Time ,Alabama,Cusseta  
 Central Daylight Time ,Alabama,Dadeville  
 Central Daylight Time ,Alabama,Daleville  
 Central Daylight Time ,Alabama,Danville  
 Central Daylight Time ,Alabama,Daphne  
 Central Daylight Time ,Alabama,Dauphin Island 
 Central Daylight Time ,Alabama,Daviston  
 Central Daylight Time ,Alabama,Dawson  
 Central Daylight Time ,Alabama,De Armanville 
 Central Daylight Time ,Alabama,Deatsville  
 Central Daylight Time ,Alabama,Decatur  
 Central Daylight Time ,Alabama,Deer Park 
 Central Daylight Time ,Alabama,Delmar  
 Central Daylight Time ,Alabama,Delta  
 Central Daylight Time ,Alabama,Demopolis  
 Central Daylight Time ,Alabama,Detroit  
 Central Daylight Time ,Alabama,Dickinson  
 Central Daylight Time ,Alabama,Dixons Mills 
 Central Daylight Time ,Alabama,Docena  
 Central Daylight Time ,Alabama,Dolomite  
 Central Daylight Time ,Alabama,Dora  
 Central Daylight Time ,Alabama,Dothan  
 Central Daylight Time ,Alabama,Double Springs 
 Central Daylight Time ,Alabama,Douglas  
 Central Daylight Time ,Alabama,Dozier  
 Central Daylight Time ,Alabama,Duncanville  
 Central Daylight Time ,Alabama,Dutton  
 Central Daylight Time ,Alabama,East Tallassee 
 Central Daylight Time ,Alabama,Eastaboga  
 Central Daylight Time ,Alabama,Echola  
 Central Daylight Time ,Alabama,Eclectic  
 Central Daylight Time ,Alabama,Edwardsville  
 Central Daylight Time ,Alabama,Eight Mile 
 Central Daylight Time ,Alabama,Elba  
 Central Daylight Time ,Alabama,Elberta  
 Central Daylight Time ,Alabama,Eldridge  
 Central Daylight Time ,Alabama,Elkmont  
 Central Daylight Time ,Alabama,Elmore  
 Central Daylight Time ,Alabama,Elrod  
 Central Daylight Time ,Alabama,Emelle  
 Central Daylight Time ,Alabama,Empire  
 Central Daylight Time ,Alabama,Enterprise  
 Central Daylight Time ,Alabama,Epes  
 Central Daylight Time ,Alabama,Equality  
 Central Daylight Time ,Alabama,Estillfork  
 Central Daylight Time ,Alabama,Ethelsville  
 Central Daylight Time ,Alabama,Eufaula  
 Central Daylight Time ,Alabama,Eutaw  
 Central Daylight Time ,Alabama,Eva  
 Central Daylight Time ,Alabama,Excel  
 Central Daylight Time ,Alabama,Fackler  
 Central Daylight Time ,Alabama,Fairfield  
 Central Daylight Time ,Alabama,Fairhope  
 Central Daylight Time ,Alabama,Faunsdale  
 Central Daylight Time ,Alabama,Fayette  
 Central Daylight Time ,Alabama,Fitzpatrick  
 Central Daylight Time ,Alabama,Five Points 
 Central Daylight Time ,Alabama,Flat Rock 
 Central Daylight Time ,Alabama,Flomaton  
 Central Daylight Time ,Alabama,Florala  
 Central Daylight Time ,Alabama,Florence  
 Central Daylight Time ,Alabama,Foley  
 Central Daylight Time ,Alabama,Forest Home 
 Central Daylight Time ,Alabama,Forkland  
 Central Daylight Time ,Alabama,Fort Davis 
 Central Daylight Time ,Alabama,Fort Deposit 
 Central Daylight Time ,Alabama,Fort Mitchell 
 Central Daylight Time ,Alabama,Fort Payne 
 Central Daylight Time ,Alabama,Fort Rucker 
 Central Daylight Time ,Alabama,Fosters  
 Central Daylight Time ,Alabama,Franklin  
 Central Daylight Time ,Alabama,Frankville  
 Central Daylight Time ,Alabama,Frisco City 
 Central Daylight Time ,Alabama,Fruitdale  
 Central Daylight Time ,Alabama,Fruithurst  
 Central Daylight Time ,Alabama,Fulton  
 Central Daylight Time ,Alabama,Fultondale  
 Central Daylight Time ,Alabama,Furman  
 Central Daylight Time ,Alabama,Fyffe  
 Central Daylight Time ,Alabama,Gadsden  
 Central Daylight Time ,Alabama,Gainestown  
 Central Daylight Time ,Alabama,Gainesville  
 Central Daylight Time ,Alabama,Gallant  
 Central Daylight Time ,Alabama,Gallion  
 Central Daylight Time ,Alabama,Gantt  
 Central Daylight Time ,Alabama,Garden City 
 Central Daylight Time ,Alabama,Gardendale  
 Central Daylight Time ,Alabama,Gaylesville  
 Central Daylight Time ,Alabama,Geneva  
 Central Daylight Time ,Alabama,Georgiana  
 Central Daylight Time ,Alabama,Geraldine  
 Central Daylight Time ,Alabama,Gilbertown  
 Central Daylight Time ,Alabama,Glen Allen 
 Central Daylight Time ,Alabama,Glenwood  
 Central Daylight Time ,Alabama,Goodsprings  
 Central Daylight Time ,Alabama,Goodwater  
 Central Daylight Time ,Alabama,Goodway  
 Central Daylight Time ,Alabama,Gordo  
 Central Daylight Time ,Alabama,Gordon  
 Central Daylight Time ,Alabama,Goshen  
 Central Daylight Time ,Alabama,Grady  
 Central Daylight Time ,Alabama,Graham  
 Central Daylight Time ,Alabama,Grand Bay 
 Central Daylight Time ,Alabama,Grant  
 Central Daylight Time ,Alabama,Graysville  
 Central Daylight Time ,Alabama,Green Pond 
 Central Daylight Time ,Alabama,Greensboro  
 Central Daylight Time ,Alabama,Greenville  
 Central Daylight Time ,Alabama,Grove Hill 
 Central Daylight Time ,Alabama,Groveoak  
 Central Daylight Time ,Alabama,Guin  
 Central Daylight Time ,Alabama,Gulf Shores 
 Central Daylight Time ,Alabama,Guntersville  
 Central Daylight Time ,Alabama,Gurley  
 Central Daylight Time ,Alabama,Hackleburg  
 Central Daylight Time ,Alabama,Haleyville  
 Central Daylight Time ,Alabama,Hamilton  
 Central Daylight Time ,Alabama,Hanceville  
 Central Daylight Time ,Alabama,Hardaway  
 Central Daylight Time ,Alabama,Harpersville  
 Central Daylight Time ,Alabama,Hartford  
 Central Daylight Time ,Alabama,Hartselle  
 Central Daylight Time ,Alabama,Harvest  
 Central Daylight Time ,Alabama,Hatchechubbee  
 Central Daylight Time ,Alabama,Hayden  
 Central Daylight Time ,Alabama,Hayneville  
 Central Daylight Time ,Alabama,Hazel Green 
 Central Daylight Time ,Alabama,Headland  
 Central Daylight Time ,Alabama,Heflin  
 Central Daylight Time ,Alabama,Helena  
 Central Daylight Time ,Alabama,Henagar  
 Central Daylight Time ,Alabama,Higdon  
 Central Daylight Time ,Alabama,Highland Home 
 Central Daylight Time ,Alabama,Hillsboro  
 Central Daylight Time ,Alabama,Hodges  
 Central Daylight Time ,Alabama,Hollins  
 Central Daylight Time ,Alabama,Holly Pond 
 Central Daylight Time ,Alabama,Hollytree  
 Central Daylight Time ,Alabama,Hollywood  
 Central Daylight Time ,Alabama,Holy Trinity 
 Central Daylight Time ,Alabama,Honoraville  
 Central Daylight Time ,Alabama,Hope Hull 
 Central Daylight Time ,Alabama,Horton  
 Central Daylight Time ,Alabama,Houston  
 Central Daylight Time ,Alabama,Huntsville  
 Central Daylight Time ,Alabama,Hurtsboro  
 Central Daylight Time ,Alabama,Huxford  
 Central Daylight Time ,Alabama,Ider  
 Central Daylight Time ,Alabama,Irvington  
 Central Daylight Time ,Alabama,Jachin  
 Central Daylight Time ,Alabama,Jack  
 Central Daylight Time ,Alabama,Jackson  
 Central Daylight Time ,Alabama,Jacksons Gap 
 Central Daylight Time ,Alabama,Jacksonville  
 Central Daylight Time ,Alabama,Jasper  
 Central Daylight Time ,Alabama,Jefferson  
 Central Daylight Time ,Alabama,Jemison  
 Central Daylight Time ,Alabama,Jones  
 Central Daylight Time ,Alabama,Joppa  
 Central Daylight Time ,Alabama,Kansas  
 Central Daylight Time ,Alabama,Kellerman  
 Central Daylight Time ,Alabama,Kellyton  
 Central Daylight Time ,Alabama,Kennedy  
 Central Daylight Time ,Alabama,Kent  
 Central Daylight Time ,Alabama,Killen  
 Central Daylight Time ,Alabama,Kimberly  
 Central Daylight Time ,Alabama,Kinston  
 Central Daylight Time ,Alabama,Knoxville  
 Central Daylight Time ,Alabama,Laceys Spring 
 Central Daylight Time ,Alabama,Lafayette  
 Central Daylight Time ,Alabama,Lanett  
 Central Daylight Time ,Alabama,Langston  
 Central Daylight Time ,Alabama,Lapine  
 Central Daylight Time ,Alabama,Lawley  
 Central Daylight Time ,Alabama,Leeds  
 Central Daylight Time ,Alabama,Leesburg  
 Central Daylight Time ,Alabama,Leighton  
 Central Daylight Time ,Alabama,Lenox  
 Central Daylight Time ,Alabama,Leroy  
 Central Daylight Time ,Alabama,Lester  
 Central Daylight Time ,Alabama,Letohatchee  
 Central Daylight Time ,Alabama,Lexington  
 Central Daylight Time ,Alabama,Lillian  
 Central Daylight Time ,Alabama,Lincoln  
 Central Daylight Time ,Alabama,Linden  
 Central Daylight Time ,Alabama,Lineville  
 Central Daylight Time ,Alabama,Lisman  
 Central Daylight Time ,Alabama,Little River 
 Central Daylight Time ,Alabama,Livingston  
 Central Daylight Time ,Alabama,Loachapoka  
 Central Daylight Time ,Alabama,Lockhart  
 Central Daylight Time ,Alabama,Locust Fork 
 Central Daylight Time ,Alabama,Louisville  
